L1 Taxonomy,L1 Taxonomy Description,L2 Taxonomy,L2 Taxonomy Description
Summarization,"Ask the Agent to summarize a provided text. If asking for a particular length, it must be shorter than the provided text.",Abstractive Summarization,"Generates summaries using novel sentences and rephrasing, not just copying from the source."
Summarization,"Ask the Agent to summarize a provided text. If asking for a particular length, it must be shorter than the provided text.",Extractive Summarization,Selects and compiles key sentences or phrases directly from the original text.
Summarization,"Ask the Agent to summarize a provided text. If asking for a particular length, it must be shorter than the provided text.",Comparative Summarization,Summarizes and contrasts multiple sources or viewpoints in a concise form.
Summarization,"Ask the Agent to summarize a provided text. If asking for a particular length, it must be shorter than the provided text.",Multi-Document Summarization,"This involves generating a single, cohesive summary from a collection of related documents. This is particularly useful for news clusters, research papers on the same topic, or a series of emails."
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Paraphrasing,"Restates the original content using different words and sentence structures while preserving meaning.
"
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Structured Format Rewriting,"Rewriting content by organizing it into a defined and systematic format—such as bullet points, numbered lists, tables, outlines, or JSON—to enhance clarity, readability, or usability."
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Formalization,Converts informal or casual text into a more formal and professional tone.
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Simplification,"Rewrites content to be easier to understand, often for lower reading levels or general audiences."
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Tone Adjustment,"Alters the emotional tone or attitude of the text (e.g. from harsh to friendly, or neutral to persuasive)."
Rewriting,"Ask the Agent to rewrite a provided text in a particular way, other than significantly shortening it as in a summary. Some ways include:",Style Transfer,"Rewrites text in the voice or style of a particular author, genre, or audience."
Open-Domain Question Answering,Ask for the answer to a question without providing a text to base it on. Non-final and corrected responses must not have factual errors.,Factoid QA,"Answers specific factual questions, usually with short spans (e.g., names, dates, places)."
